site_id,site_name,website
ABBY,Abby Road, 
BART,Bartlett Experimental Forest,http://nrs.fs.fed.us/ef/locations/nh/bartlett/
BASC,Barrow Arctic Science Consortium,http://www.arcticscience.org/
BLAN,Blandy Experimental Farm,http://www.virginia.edu/blandy/
BONA,Caribou Creek - Poker Flats Watershed,http://www.lter.uaf.edu/bnz_cpcrw.cfm
BOZE,Bozeman; MT (MOR),http://www.museumoftherockies.org/
CAPL,CAP LTER Urban,http://caplter.asu.edu/
CHOC,Choctaw National Wildlife Refuge,http://www.fws.gov/choctaw/
CLBJ,Caddo/LBJ National Grassland,http://www.fs.fed.us/r8/texas/recreation/caddo_lbj/caddo-lbj_gen_info.shtml
CPER,Central Plains Experimental Range,http://sgs.cnr.colostate.edu/
DCFS,Dakota Coteau Field School,http://www.ndsu.edu/fileadmin/www.ur.ndsu.edu/pdfs_-_examples/DakotaCoteau.pdf
DEJU,Delta Junction,http://www.blm.gov/ak/st/en/prog/minerals/mineral_assessment_prog/studies/delta_river_mining.html
DELA,Dead Lake, 
DSNY,Disney Wilderness Preserve,http://www.nature.org/wherewework/northamerica/states/florida/preserves/art5523.html
FEXF,Fraser Experimental Forest,http://www.fs.fed.us/rm/fraser/
GRSM,Great Smoky Mountains National Park; Twin Creeks,http://www.dlia.org/
GUAN,Guanica Forest,http://www.unesco.org/mabdb/br/brdir/directory/biores.asp?code=USA+35&mode=all
HARV,Harvard Forest,http://harvardforest.fas.harvard.edu/research/lter_new.html
HEAL,Healy,cannot find
JERC,Jones Ecological Research Center,http://www.jonesctr.org/
JORN,Jornada LTER,http://jornada-www.nmsu.edu/
KONA,Konza Prairie Biological Station (Agricultural Lowland),http://www.konza.ksu.edu/
KONZ,Konza Prairie Biological Station,http://www.konza.ksu.edu/
LAJA,Lajas Experimental Station,"http://www.uprm.edu/bio-optics/facilities.html, http://groundwaterwatch.usgs.gov/AWLSites.asp?mt=g&S=180103067042500&ncd="
LOLE,Loch Leven; MT,http://fwp.mt.gov/
MLBS,Mountain Lake Biological Station,http://www.mlbs.virginia.edu/
MOAB,Moab,http://www.blm.gov/ut/st/en/fo/moab.html
MURR,Murray Tower (Urban),cannot find
NIWO,Niwot Ridge/Mountain Research Station,http://culter.colorado.edu/NWT/
NOGP,Northern Great Plains Research Laboratory,http://www.ars.usda.gov/Main/docs.htm?docid=17646
OAES,Klemme Range Research Station,http://oaes.pss.okstate.edu/agronstations/1klemme/index.html
OLAA,Olaa, 
ONAQ,Onaqui-Ault,http://ehleringer.net/iron/OnaquiBenmore/index.html
ORNL,Oak Ridge,http://www.oakridge.doe.gov/external/
OSBS,Ordway-Swisher Biological Station,http://ordway-swisher.ufl.edu/
PLUM,Plum Island Suburban- Burlington; MA,http://ecosystems.mbl.edu/pie/proposal/
POKE,Poker Flat,http://www.pfrr.alaska.edu/
PONC,Ponce Metro,none found.
PSRS,San Joaquin,http://www.fs.fed.us/psw/ef/san_joaquin/
PUWI,PuuWaaWaa-invaded,http://www.hetf.us/page/puu_waa_waa/
PUWU,PuuWaaWaa-uninvaded,http://www.hetf.us/page/puu_waa_waa/
RBUT,Red Butte Canyon (Low Elevation-Urban Influence),http://redbuttecanyon.net/
RMNP,RMNP; CASTNET,http://www.nps.gov/romo/index.htm
SCBI,Smithsonian Conservation Biology Institute (SCBI),http://nationalzoo.si.edu/SCBI/AboutUs/FrontRoyal/default.cfm
SERC,Smithsonian Environmental Research Center,http://www.serc.si.edu/
SOAP,Soaproot Saddle,http://www.fs.fed.us/psw/programs/snrc/water/kingsriver/
SRER,Santa Rita Experimental Range,http://www.snr.arizona.edu/project/srer
STEI,Steigerwaldt Land Services,http://www.slstomahawk.com/
STER,North Sterling; CO, 
TALL,Talladega National Forest,http://www.fs.fed.us/r8/alabama/
TEAK,Lower Teakettle, 
THAY,Thayer, 
TOOL,Toolik Lake,http://toolik.alaska.edu/
TREE,Treehaven,http://www.uwsp.edu/cnr/treehaven/
UKFS,The University of Kansas Field Station,http://www.kufs.ku.edu/index.htm
UNDE,UNDERC,http://www.nd.edu/~underc/
UOBS,Northcutt Site,http://www.ou.edu/uobs/
WOOD,Woodworth,http://www.npwrc.usgs.gov/resource/habitat/woodwort/nelson.htm
WREF,Wind River Experimental Forest,http://www.fs.fed.us/pnw/exforests/wind-river/index.shtml
YELL,Yellowstone Northern Range (Frog Rock),http://www.nps.gov/yell/index.htm
